Source,Target,Mol1_ID,Mol2_ID,Mol1_Activity,Mol2_Activity,Tanimoto_Similarity,Activity_Difference,Activity_Similarity,SALI,Type
61,54,61,54,5.20091694,1.352748697,0.6,3.848168243,0.6151831757000386,9.620420607475948,High SALI Cliff
54,61,54,61,1.352748697,5.20091694,0.6,3.848168243,0.6151831757000386,9.620420607475948,High SALI Cliff
8,122,8,122,3.870656268,6.480025097,0.727272727,2.6093688290000006,0.739063117100026,9.56768569673057,Other
122,8,122,8,6.480025097,3.870656268,0.727272727,2.6093688290000006,0.739063117100026,9.56768569673057,Other
134,182,134,182,6.908222336,1.80640614,0.466666667,5.101816196,0.4898183804000511,9.565905373460753,Other
182,134,182,134,1.80640614,6.908222336,0.466666667,5.101816196,0.4898183804000511,9.565905373460753,Other
76,50,76,50,7.080023087,3.095879083,0.583333333,3.984144004,0.6015855996000399,9.561945601927496,Activity Cliff
50,76,50,76,3.095879083,7.080023087,0.583333333,3.984144004,0.6015855996000399,9.561945601927496,Activity Cliff
302,212,302,212,4.675189619,8.881820379,0.555555556,4.20663076,0.5793369240000421,9.464919219443624,Other
212,302,212,302,8.881820379,4.675189619,0.555555556,4.20663076,0.5793369240000421,9.464919219443624,Other
287,193,287,193,3.475685056,7.403838258,0.583333333,3.9281532020000003,0.6071846798000393,9.427567677235322,Activity Cliff
193,287,193,287,7.403838258,3.475685056,0.583333333,3.9281532020000003,0.6071846798000393,9.427567677235322,Activity Cliff
60,120,60,120,4.179711557,7.217553802,0.677419355,3.037842245,0.6962157755000303,9.417310964179462,Activity Cliff
120,60,120,60,7.217553802,4.179711557,0.677419355,3.037842245,0.6962157755000303,9.417310964179462,Activity Cliff
243,101,243,101,2.989556131,8.405303476,0.423076923,5.415747345,0.45842526550005414,9.387295396732089,Other
67,47,67,47,8.599205097,4.375651302,0.55,4.223553795000001,0.5776446205000422,9.385675099979146,Other
47,67,47,67,4.375651302,8.599205097,0.55,4.223553795000001,0.5776446205000422,9.385675099979146,Other
319,114,319,114,8.464021324,4.665639194,0.59375,3.798382130000001,0.6201617870000379,9.349863704592373,Activity Cliff
114,319,114,319,4.665639194,8.464021324,0.59375,3.798382130000001,0.6201617870000379,9.349863704592373,Activity Cliff
18,265,18,265,2.469854016,6.615101097,0.555555556,4.145247081,0.5854752919000414,9.32680594155582,Other
265,18,265,18,6.615101097,2.469854016,0.555555556,4.145247081,0.5854752919000414,9.32680594155582,Other
131,107,131,107,0.987782903,4.969222324,0.565217391,3.981439421,0.6018560579000398,9.157310661868822,Other
107,131,107,131,4.969222324,0.987782903,0.565217391,3.981439421,0.6018560579000398,9.157310661868822,Other
196,106,196,106,8.494602903,4.592707207,0.571428571,3.9018956960000004,0.6098104304000389,9.104423281541001,Other
134,227,134,227,6.908222336,1.790480949,0.4375,5.117741387,0.4882258613000512,9.098206910206047,Other
49,59,49,59,6.898242377,2.570525704,0.523809524,4.327716672999999,0.5672283327000434,9.088205016916197,Other
59,49,59,49,2.570525704,6.898242377,0.523809524,4.327716672999999,0.5672283327000434,9.088205016916197,Other
285,54,285,54,5.48355964,1.352748697,0.545454545,4.130810943,0.5869189057000412,9.087784065492224,Other
95,78,95,78,1.217269556,5.507909594,0.527777778,4.290640038,0.5709359962000429,9.086061261197731,Other
55,305,55,305,7.306877373,3.124234298,0.538461538,4.182643075,0.5817356925000419,9.062393320084636,Other
305,55,305,55,3.124234298,7.306877373,0.538461538,4.182643075,0.5817356925000419,9.062393320084636,Other
20,170,20,170,6.758805223,2.416938977,0.52,4.341866246,0.5658133754000434,9.045554679147823,Other
170,20,170,20,2.416938977,6.758805223,0.52,4.341866246,0.5658133754000434,9.045554679147823,Other
